location,latitude,longitude
THIGALARAPALYA,13.0137105,77.4834544
SOMASUNDARA PALYA,13.17397,77.70647
T.C PALYA,12.9845687,77.73766474151809
MUNESHWARA NAGAR,12.887209,77.680655
BASAVESHWARA NAGAR,12.9932236,77.5391579
BULL TEMPLE ROAD,12.944721,77.567898
BOMMASANDRA,12.814934,77.691357
PRASHANTH NAGAR,12.887209,77.680655
SURAGAJAKKANAHALLI,12.7397767,77.6689543
ARDENDALE,13.026135,77.76638437071601
HARLUR,12.8920326,77.6550376733177
SAMPIGEHALLI,12.805629,77.578889
RMV,12.96557,77.60625
BANASHANKARI3RD STAGE BIGBAZAR,,
BAGALUR MAIN ROAD,13.1235203,77.6394479
KODIHALLI,12.96427,77.647007
NARAYANAPURA,13.052656,77.64601
BINNY MILLS EMPLOYEES COLONY,12.976145,77.603005
BANNERGHATTA ROAD,12.797626,77.613126
HENNUR,13.031992,77.636167
5TH PHASE JP NAGAR,12.918551,77.585631
KODIGEHAALI,,
GOPALAPURA,12.9805909,77.5576857
BILLEKAHALLI,,
JALAHALLI,13.0464531,77.5483803
MAHADEVPURA,12.99678075,77.692813
ANEKAL,12.787573,77.703544
HOODI CIRCLE,12.9918889,77.7151783
SOMPURA,12.862221,77.77196
ASHIRVAD COLONY,12.939851,77.574033
DODDA NEKKUNDI,12.887549,77.444527
K N EXTENSION,12.96557,77.60625
HOSUR ROAD,12.741107,77.819765
BATTARAHALLI,,
GOKULA EXTENSION,12.96557,77.60625
KAMAKSHIPALYA,12.9823617,77.5226376
SULTAN PALAYA,12.931849,77.607621
SANNE AMANIKERE,13.23101,77.6891
AMCO COLONY,13.010655,77.615192
AMBALIPURA,12.9173303,77.667161
HOODI,12.991801,77.716493
SAMETHANAHALLI,12.9802702,77.7902352
BROOKEFIELD,12.96557,77.60625
YELENAHALLI,12.8669074,77.6159019
RICHMOND TOWN,12.9626925,77.6041603
SUDDAGUNTEPALYA,,
UDAYAPUR VILLAGE,12.96557,77.60625
VITTASANDRA,12.85843,77.635413
THIPPASANDRA,12.973936,77.6509982
CHIKKABIDARAKALLU,13.0519047,77.4877084
1 GIRI NAGAR,12.935429,77.547796
HOYSALANAGAR,,
DEFENCE COLONY,12.9121576,77.7016667
2ND STAGE NAGARBHAVI,13.042457,77.579933
VIDYARANYAPURA,13.079504,77.559237
AMRUTHAHALLI,13.0665131,77.5966238
ITI EMPLOYEES LAYOUT,12.966771,77.5349228
KODIGEHALLI,13.172152,77.690816
PATELAPPA LAYOUT,13.011885,77.544139
RING ROAD NAGARBHAVI,12.9580123,77.5189774
NS PALYA,12.9105841,77.6008291
SUBRAMANYAPURA,12.8975345,77.5464894
BASAVANGUDI,12.9422105,77.5741507
KENCHENAHALLI,12.9097787,77.5134709
3RD BLOCK HRBR LAYOUT,13.0251863,77.6340078
BANK AVENUE,12.9767936,77.590082
SURABHI LAYOUT,12.939113,77.552163
BANJARA LAYOUT,13.011885,77.544139
OMKAR NAGAR,12.8901067,77.597049
KEREGUDDADAHALLI,,
MARAGONDANAHALLI,13.156274,77.262349
SILK BOARD,12.917519,77.624503
KADA AGRAHARA,13.0806006,77.6916643
KAMBIPURA,12.871891,77.461767
BHEL LAYOUT,12.922005,77.648683
MEDAHALLI,13.0278454,77.7206079
BANASHANKARI STAGE III,12.9275421,77.5618188
KASHI NAGAR,13.0084602,77.6609259
SECTOR 7 HSR LAYOUT,12.9131394,77.6374645
YEMLUR,12.958297,77.66635
VHBCS LAYOUT,13.011885,77.544139
ITTAMADU,12.9250047,77.5444573
RAJIV NAGAR,12.92628595,77.59232380254548
GATTAHALLI,12.875388,77.691298
AREKERE,12.88945,77.594037
RAMANJANEYANAGAR,,
MICO LAYOUT,12.922005,77.648683
